Test Case ID,Title,Category,Expected Result,Steps,Test Data
TC-001,"View Employee Profile",Positive,"Employee profile details are displayed accurately","Login to the system | Navigate to Employee Profile section | View employee details","N/A"
TC-002,"Update Employee Profile",Positive,"Employee profile details are updated successfully","Login to the system | Navigate to Employee Profile section | Click on edit button | Update employee details | Click save button","N/A"
TC-003,"Invalid Login Credentials",Negative,"System displays an error message for invalid credentials","Login to the system with invalid credentials | Navigate to Employee Profile section","N/A"
TC-004,"Unauthorized Access",Negative,"System restricts access to Employee Profile section","Login to the system with unauthorized access | Navigate to Employee Profile section","N/A"
TC-005,"Empty Employee Profile",Edge,"System displays a message indicating empty profile","Login to the system | Navigate to Employee Profile section | View employee details with empty profile","N/A"
TC-006,"Employee Profile with Multiple Roles",Positive,"System displays all employee roles accurately","Login to the system | Navigate to Employee Profile section | View employee details with multiple roles","N/A"
TC-007,"Employee Profile with No Roles",Edge,"System displays a message indicating no roles assigned","Login to the system | Navigate to Employee Profile section | View employee details with no roles","N/A"
TC-008,"Update Employee Profile with Invalid Data",Negative,"System displays an error message for invalid data","Login to the system | Navigate to Employee Profile section | Click on edit button | Enter invalid data | Click save button","N/A"
TC-009,"Employee Profile with Duplicate Data",Edge,"System highlights duplicate data","Login to the system | Navigate to Employee Profile section | View employee details with duplicate data","N/A"
TC-010,"Employee Profile with Missing Mandatory Fields",Negative,"System displays an error message for missing mandatory fields","Login to the system | Navigate to Employee Profile section | Click on edit button | Leave mandatory fields empty | Click save button","N/A"
TC-011,"View Employee Profile History",Positive,"System displays employee profile history accurately","Login to the system | Navigate to Employee Profile section | View employee profile history","N/A"
TC-012,"Employee Profile with Inactive Status",Edge,"System displays employee details with inactive status","Login to the system | Navigate to Employee Profile section | View employee details with inactive status","N/A"
TC-013,"Update Employee Profile with Same Data",Positive,"System updates employee profile successfully","Login to the system | Navigate to Employee Profile section | Click on edit button | Enter same data | Click save button","N/A"
TC-014,"Employee Profile with Special Characters",Edge,"System displays employee details with special characters accurately","Login to the system | Navigate to Employee Profile section | View employee details with special characters","N/A"
TC-015,"Employee Profile with Long Text",Edge,"System displays employee details with long text accurately","Login to the system | Navigate to Employee Profile section | View employee details with long text","N/A"
TC-016,"Employee Profile with Non-English Characters",Edge,"System displays employee details with non-English characters accurately","Login to the system | Navigate to Employee Profile section | View employee details with non-English characters","N/A"
TC-017,"Employee Profile with Numbers Only",Edge,"System displays employee details with numbers only accurately","Login to the system | Navigate to Employee Profile section | View employee details with numbers only","N/A"
TC-018,"Employee Profile with No Data",Edge,"System displays a message indicating no data available","Login to the system | Navigate to Employee Profile section | View employee details with no data","N/A"
TC-019,"Employee Profile with Multiple Pages",Edge,"System displays employee details across multiple pages accurately","Login to the system | Navigate to Employee Profile section | View employee details with multiple pages","N/A"
TC-020,"Employee Profile with Export Option",Positive,"System exports employee details successfully","Login to the system | Navigate to Employee Profile section | Export employee details","N/A"
